;nakoplenia_ludei.xls;rashodi_na_med.xls;chislo_ubistv.xls;inflazia.xls;nalogi.xls;procent_tryd_naselenia.xls;trati_na_obraz.xls;rogdaemost.xls;voennie_trati.xls;bezrabotiza.xls;vvp_pps_na_dyshy.xls;patenti.csv;Happiness.Score
Indonesia;30.8783634350333;2.90417194;;3.80879806953163;30.0;48.77080053319011;2.6699800491333;17.519;0.8651913762219919;0.238049998879433;10941.920951023143;2271.0;5.26200008392334
Iran;;;;;;;;;;;;;4.69199991226196
Iraq;32.10213057333525;4.19215298;;0.18405889884764;30.8;74.88385704259855;;28.923;3.8620320191056496;0.0459600016474724;9976.854941862852;613.0;4.49700021743774
Ireland;34.358251858824715;7.06397724;0.820485891745091;0.340531561461793;26.0;53.015080015303454;3.50928997993469;12.9;0.304141143329011;1.25539994239807;77749.2019569363;62.0;6.97700023651123
Israel;26.63803341269933;7.28954744;1.49202150597373;0.244953121040659;27.0;65.58428354624361;6.05790996551514;21.1;5.47542700581441;4.65676021575928;39121.29583254612;1436.0;7.21299982070923
Italy;20.68469513763577;8.6777401;0.619708435751415;1.22653316645808;48.0;56.14041237237846;4.04493999481201;7.6;1.35737055917772;1.37012994289398;41581.12079054799;8643.0;5.96400022506714
Ivory Coast;;;;;;;;;;;;;4.17999982833862
Jamaica;21.560033924852686;6.14843798;56.3877339731475;4.3783986499156;33.1;40.678753998011324;5.26016998291016;12.748;0.9722643141343259;;9984.577117370256;11.0;5.31099987030029
Japan;29.28964909055956;10.65627003;0.239994865051044;0.484199796126387;47.4;69.10469524036847;3.13057994842529;7.6;0.913229492309334;3.16635990142822;41444.21574439138;260292.0;5.92000007629395
Jordan;10.819013137769076;7.98199606;1.3591066275353;3.32389447576096;28.1;60.270433522021264;3.22853994369507;23.377;4.7649032972355805;;9629.102998584885;26.0;5.33599996566772
Kazakhstan;25.934092269799187;3.05244446;5.0608342699564;7.44000437325754;29.2;54.72522978114232;2.75081992149353;21.64;0.83189500166368;0.126670002937317;24862.966124588893;1055.0;5.81899976730347
Kenya;13.276913032944082;4.1409831;4.91028221458746;8.0057227913467;37.4;76.14604549484025;4.96308994293213;29.755;1.28911097816314;;4312.908917249892;135.0;4.55299997329712
